Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,3-Sep-20,2265.15,2268,2324,2268,2299,2299.5,2301.29,4654146,10710523658,170993,1233359,26.5
TCS,EQ,4-Sep-20,2299.5,2275,2324.25,2262.95,2297.65,2288.8,2295.35,5232180,12009690380,177219,2085700,39.86
TCS,EQ,7-Sep-20,2288.8,2289,2343.5,2283.35,2330,2327.05,2319.63,4620416,10717678248,157714,1077421,23.32
TCS,EQ,8-Sep-20,2327.05,2335.95,2390.45,2327.05,2343.95,2348.2,2365.85,7454161,17635425079,233593,1535823,20.6
TCS,EQ,9-Sep-20,2348.2,2325,2359,2320,2322,2327.65,2336.59,3866542,9034529930,114778,1379634,35.68
TCS,EQ,10-Sep-20,2327.65,2335,2348.5,2324.3,2329.1,2331.15,2334.85,2308813,5390730799,96578,860606,37.27
TCS,EQ,11-Sep-20,2331.15,2330.95,2383,2330.15,2370.3,2374.1,2367.47,4145429,9814176118,161900,1407826,33.96
TCS,EQ,14-Sep-20,2374.1,2384.1,2505.75,2381.85,2485,2491.4,2447.42,7512284,18385694525,259748,2210359,29.42
TCS,EQ,15-Sep-20,2491.4,2491.4,2538,2464.6,2489,2491.4,2502.8,7318773,18317394072,229851,1906819,26.05
TCS,EQ,16-Sep-20,2491.4,2488.95,2507.6,2477.3,2502,2503,2492.52,3074013,7662047812,126981,1151748,37.47
TCS,EQ,17-Sep-20,2503,2480,2495.75,2450.6,2466.05,2460.95,2473.58,4828231,11943032180,162667,2534877,52.5
TCS,EQ,18-Sep-20,2460.95,2485,2500.4,2436.4,2457.5,2449.9,2466.95,4183256,10319878331,132358,2251126,53.81
TCS,EQ,21-Sep-20,2449.9,2465,2504.9,2452.15,2467,2465.3,2484.95,4598809,11427829682,182859,1287735,28
TCS,EQ,22-Sep-20,2465.3,2485,2555,2458,2527,2522.95,2513.02,7499927,18847485589,227930,1600955,21.35
TCS,EQ,23-Sep-20,2522.95,2510,2519.85,2409,2461.05,2467.45,2466.68,7503152,18507863132,255912,2190998,29.2
